round,accuracy
1,89.12
2,92.3
3,93.85
4,95.01
5,95.86
6,96.39
7,96.62
8,96.79
9,97.09
10,97.2
11,97.33
12,97.45
13,97.42
14,97.47
15,97.57
16,97.5
17,97.52
18,97.54
19,97.5
20,97.57
21,97.61
22,97.62
23,97.65
24,97.62
25,97.66
26,97.7
27,97.63
28,97.65
29,97.69
30,97.64
31,97.69
32,97.69
33,97.68
34,97.7
35,97.7
36,97.67
37,97.72
38,97.72
39,97.71
40,97.71
41,97.72
42,97.72
43,97.71
44,97.74
45,97.73
46,97.75
47,97.75
48,97.76
49,97.74
50,97.76
51,97.76
52,97.76
53,97.77
54,97.76
55,97.78
56,97.78
57,97.79
58,97.79
59,97.78
60,97.8
61,97.8
62,97.8
63,97.83
64,97.81
65,97.82
66,97.81
67,97.81
68,97.84
69,97.8
70,97.81
71,97.84
72,97.84
73,97.81
74,97.85
75,97.83
76,97.85
77,97.84
78,97.83
79,97.83
80,97.84
81,97.85
82,97.85
83,97.83
84,97.83
85,97.84
86,97.83
87,97.83
88,97.84
89,97.85
90,97.84
91,97.84
92,97.83
93,97.85
94,97.83
95,97.84
96,97.85
97,97.85
98,97.85
99,97.85
100,97.86
