round,accuracy
1,38.69
2,43.0
3,45.13
4,46.92
5,47.72
6,48.53
7,49.65
8,50.46
9,50.59
10,50.85
11,51.51
12,51.87
13,51.86
14,51.96
15,52.07
16,52.71
17,53.06
18,53.03
19,53.43
20,53.08
21,53.29
22,53.55
23,53.64
24,53.69
25,53.95
26,53.74
27,54.21
28,54.36
29,54.06
30,53.96
31,54.06
32,54.06
33,54.12
34,54.69
35,54.23
36,54.09
37,54.18
38,54.14
39,54.42
40,54.02
41,54.07
42,54.29
43,54.43
44,54.25
45,54.37
46,54.2
47,54.57
48,54.54
49,54.07
50,54.21
51,54.3
52,54.37
53,54.0
54,54.26
55,54.23
56,54.06
57,54.32
58,54.3
59,54.46
60,53.59
61,54.2
62,54.4
63,54.27
64,54.23
65,54.2
66,54.35
67,54.06
68,53.97
69,54.07
70,54.12
71,54.37
72,53.95
73,54.09
74,54.14
75,53.59
76,53.74
77,53.99
78,53.94
79,54.12
80,53.82
81,54.15
82,53.83
83,54.12
84,53.57
85,53.76
86,53.7
87,53.56
88,53.63
89,53.41
90,53.65
91,53.75
92,53.88
93,53.5
94,53.57
95,54.05
96,53.54
97,53.54
98,54.02
99,53.76
100,53.96
