round,accuracy
1,68.16
2,84.14
3,88.35
4,89.7
5,91.44
6,92.48
7,93.54
8,94.35
9,94.72
10,95.26
11,95.67
12,95.86
13,96.03
14,96.31
15,96.6
16,96.7
17,96.77
18,96.89
19,97.16
20,97.09
21,97.2
22,97.23
23,97.38
24,97.48
25,97.56
26,97.53
27,97.59
28,97.64
29,97.77
30,97.63
31,97.78
32,97.76
33,97.79
34,97.81
35,97.86
36,97.89
37,97.91
38,98.01
39,98.02
40,98.03
41,98.09
42,97.99
43,98.09
44,98.17
45,98.21
46,98.17
47,98.19
48,98.23
49,98.15
50,98.24
51,98.25
52,98.29
53,98.24
54,98.29
55,98.26
56,98.27
57,98.38
58,98.38
59,98.39
60,98.43
61,98.44
62,98.38
63,98.4
64,98.45
65,98.51
66,98.51
67,98.49
68,98.47
69,98.49
70,98.47
71,98.51
72,98.5
73,98.54
74,98.55
75,98.52
76,98.52
77,98.54
78,98.54
79,98.55
80,98.52
81,98.53
82,98.49
83,98.52
84,98.57
85,98.52
86,98.56
87,98.59
88,98.57
89,98.51
90,98.61
91,98.53
92,98.56
93,98.56
94,98.56
95,98.57
96,98.57
97,98.59
98,98.59
99,98.55
100,98.65
