round,accuracy
1,11.57
2,10.09
3,11.34
4,7.85
5,16.38
6,9.79
7,8.6
8,8.98
9,11.15
10,9.53
11,12.26
12,8.93
13,9.45
14,9.02
15,12.96
16,8.53
17,10.15
18,12.18
19,12.11
20,9.29
21,9.82
22,12.44
23,12.0
24,9.76
25,11.26
26,12.25
27,11.18
28,10.64
29,10.1
30,12.32
31,8.69
32,10.76
33,13.7
34,14.46
35,7.6
36,15.64
37,11.54
38,18.24
39,8.09
40,11.73
41,11.35
42,10.43
43,11.35
44,11.44
45,15.52
46,11.61
47,18.68
48,12.62
49,19.5
50,11.74
51,15.25
52,12.7
53,15.46
54,12.58
55,13.34
56,13.03
57,13.46
58,9.95
59,12.94
60,13.27
61,14.64
62,9.56
63,14.16
64,14.51
65,13.92
66,9.73
67,14.71
68,14.7
69,14.39
70,9.86
71,15.71
72,14.74
73,18.0
74,8.92
75,19.96
76,13.07
77,20.85
78,14.37
79,20.11
80,9.6
81,20.94
82,9.45
83,21.6
84,10.68
85,21.83
86,9.56
87,21.11
88,12.93
89,21.89
90,12.42
91,21.77
92,11.15
93,22.03
94,12.96
95,21.25
96,11.39
97,21.71
98,11.93
99,21.17
100,9.81
