round,accuracy
1,91.24
2,93.01
3,93.63
4,94.15
5,94.22
6,94.48
7,94.38
8,94.6
9,94.5
10,94.61
11,94.56
12,94.55
13,94.57
14,94.53
15,94.56
16,94.5
17,94.47
18,94.47
19,94.48
20,94.5
21,94.51
22,94.5
23,94.51
24,94.54
25,94.48
26,94.53
27,94.54
28,94.55
29,94.52
30,94.53
31,94.54
32,94.53
33,94.54
34,94.54
35,94.55
36,94.54
37,94.53
38,94.54
39,94.55
40,94.54
41,94.56
42,94.56
43,94.53
44,94.52
45,94.54
46,94.51
47,94.53
48,94.54
49,94.55
50,94.56
51,94.54
52,94.56
53,94.55
54,94.61
55,94.57
56,94.59
57,94.58
58,94.58
59,94.59
60,94.58
61,94.59
62,94.59
63,94.61
64,94.61
65,94.6
66,94.59
67,94.59
68,94.62
69,94.6
70,94.62
71,94.63
72,94.61
73,94.61
74,94.62
75,94.61
76,94.62
77,94.64
78,94.59
79,94.61
80,94.62
81,94.6
82,94.63
83,94.63
84,94.61
85,94.63
86,94.66
87,94.62
88,94.64
89,94.64
90,94.62
91,94.63
92,94.61
93,94.64
94,94.61
95,94.63
96,94.64
97,94.62
98,94.62
99,94.63
100,94.63
