round,accuracy
1,11.49
2,50.75
3,93.14
4,97.01
5,97.82
6,98.02
7,98.25
8,98.56
9,98.63
10,98.68
11,98.83
12,98.87
13,98.82
14,98.88
15,98.92
16,98.95
17,98.99
18,99.09
19,99.12
20,99.08
21,99.09
22,99.21
23,99.2
24,99.22
25,99.22
26,99.25
27,99.29
28,99.23
29,99.25
30,99.31
31,99.29
32,99.3
33,99.3
34,99.39
35,99.37
36,99.34
37,99.33
38,99.36
39,99.34
40,99.37
41,99.35
42,99.32
43,99.36
44,99.39
45,99.38
46,99.43
47,99.38
48,99.41
49,99.41
50,99.39
51,99.42
52,99.38
53,99.43
54,99.44
55,99.32
56,99.4
57,99.43
58,99.43
59,99.44
60,99.45
61,99.46
62,99.42
63,99.4
64,99.46
65,99.45
66,99.48
67,99.41
68,99.47
69,99.43
70,99.5
71,99.44
72,99.44
73,99.42
74,99.47
75,99.39
76,99.46
77,99.53
78,99.48
79,99.52
80,99.52
81,99.53
82,99.43
83,99.54
84,99.48
85,99.54
86,99.42
87,99.46
88,99.48
89,99.44
90,99.5
91,99.48
92,99.46
93,99.5
94,99.51
95,99.57
96,99.43
97,99.46
98,99.42
99,99.44
100,99.48
